Project ID,Project Name,Location,Current Headcount,Required Headcount,Start Date,End Date
PRJ001,Project A,Cairo,38,62,2023-06-09,2023-11-04
PRJ002,Project B,Jeddah,21,80,2023-07-26,2023-11-19
PRJ003,Project C,Cairo,11,99,2023-07-31,2024-01-16
PRJ004,Project D,Cairo,44,72,2023-06-26,2023-11-20
PRJ005,Project E,Cairo,26,75,2023-10-18,2024-04-10
PRJ006,Project F,Cairo,17,78,2023-06-16,2023-10-04
PRJ007,Project G,Jeddah,35,59,2023-07-19,2023-10-02
PRJ008,Project H,Abu Dhabi,35,83,2023-06-24,2023-11-15
PRJ009,Project I,Dubai,16,53,2023-11-12,2024-04-01
PRJ010,Project J,Cairo,20,78,2023-06-06,2023-08-11
PRJ011,Project K,Dubai,45,74,2023-08-02,2023-10-17
PRJ012,Project L,Dubai,30,85,2023-07-23,2023-09-29
PRJ013,Project M,Abu Dhabi,19,86,2023-07-24,2023-12-06
PRJ014,Project N,Abu Dhabi,18,73,2023-07-30,2023-11-09
PRJ015,Project O,Cairo,44,98,2023-10-31,2023-12-30
PRJ016,Project P,Dubai,44,97,2023-07-08,2023-09-22
PRJ017,Project Q,Abu Dhabi,45,67,2023-08-04,2024-01-13
PRJ018,Project R,Riyadh,48,81,2023-06-29,2023-11-20
PRJ019,Project S,Cairo,33,72,2023-07-04,2023-09-03
PRJ020,Project T,Cairo,41,86,2023-07-31,2023-12-13